id,name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error,full_smiles
0,Mandelic acid,CR18,90-64-2,152,OC(C(O)=O)C1=CC=CC=C1,CCOC(C)=O,Etyl acetate,0.484309444,0.117901955,OC(C(O)=O)C1=CC=CC=C1.CCOC(C)=O
1,"benzene-1,2,3-triol",CB 137,87-66-1,126,C1=CC(=C(C(=C1)O)O)O,CCOC(C)=O,Etyl acetate,0.375569119,0.134596266,C1=CC(=C(C(=C1)O)O)O.CCOC(C)=O
2,4-Fluorobenzoic acid,CC4,456-22-4,140,O=C(O)C1=CC=C(F)C=C1,CCOC(C)=O,Etyl acetate,0.343730411,0.10268652,O=C(O)C1=CC=C(F)C=C1.CCOC(C)=O
3,2-Aminopyridine,CP27,504-29-0,94,C1=CC=NC(=C1)N,CCOC(C)=O,Etyl acetate,0.106237871,0.060477263,C1=CC=NC(=C1)N.CCOC(C)=O
4,5-Aminoindole,CA38,5192-03-0,132.16,Nc1ccc2[nH]ccc2c1,CCOC(C)=O,Etyl acetate,0.279690582,0.162706861,Nc1ccc2[nH]ccc2c1.CCOC(C)=O
5,4-Acetoamidophenol,AP37,103-90-2,151,OC1=CC=C(NC(C)=O)C=C1,CCOC(C)=O,Etyl acetate,0.474209956,0.110575953,OC1=CC=C(NC(C)=O)C=C1.CCOC(C)=O
6,4-Acetoamidophenol,AP37,103-90-2,151.0633285,OC1=CC=C(NC(C)=O)C=C1,CCOC(C)=O,Etyl acetate,0.474209956,0.035042011,OC1=CC=C(NC(C)=O)C=C1.CCOC(C)=O
7,Aniline,CP37,62-53-3,93.13,C1=CC=C(C=C1)N,CCOC(C)=O,Etyl acetate,0.12334489,0.047446497,C1=CC=C(C=C1)N.CCOC(C)=O
8,5-aminoquinoline,CB77,611-34-7,144.17,Nc1cccc2ncccc12,CCOC(C)=O,Etyl acetate,0.241710447,0.040323318,Nc1cccc2ncccc12.CCOC(C)=O
9,Sesamol,CJ74,533-31-3,138.12,C1OC2=C(O1)C=C(C=C2)O,CCOC(C)=O,Etyl acetate,0.381410193,0.175003193,C1OC2=C(O1)C=C(C=C2)O.CCOC(C)=O
10,,Z70,581-43-1,160,OC1=CC2=CC=C(O)C=C2C=C1,CCOC(C)=O,Etyl acetate,0.476404081,0.065802877,OC1=CC2=CC=C(O)C=C2C=C1.CCOC(C)=O
11,"1,3,5-tris(4-carboxyphenyl)benzene",CA157,50446-44-1,438.43,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1,CCOC(C)=O,Etyl acetate,0.899940246,0.021733032,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1.CCOC(C)=O
12,"4,4'-Diaminobenzophenone",Z67,611-98-3,212,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N,CCOC(C)=O,Etyl acetate,0.581459084,0.085338666,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N.CCOC(C)=O
13,2-phenylbutanoic acid,CK 18,90-27-7,164,CCC(C1=CC=CC=C1)C(=O)O,CCOC(C)=O,Etyl acetate,0.538563675,0.084732457,CCC(C1=CC=CC=C1)C(=O)O.CCOC(C)=O
14,,Z24,14753-51-6,268,OC1=CC(Br)=C(O)C=C1Br,CCOC(C)=O,Etyl acetate,0.482294333,0.071234662,OC1=CC(Br)=C(O)C=C1Br.CCOC(C)=O
15,5-Bromo-2-methoxypyrimidine,CB16,14001-66-2,189.01,COc1ncc(Br)cn1,CCOC(C)=O,Etyl acetate,0.125937192,0.155730886,COc1ncc(Br)cn1.CCOC(C)=O
16,4-aminobenzanilide,CE5,782-45-6,212.3,C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)N,CCOC(C)=O,Etyl acetate,0.523476692,0.041282353,C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)N.CCOC(C)=O
17,N-Methylformanilide,CK44,93-61-8,135.16,CN(C=O)C1=CC=CC=C1,CCOC(C)=O,Etyl acetate,0.254902482,0.160613391,CN(C=O)C1=CC=CC=C1.CCOC(C)=O
18,"2,6-Lutidine",CC50,108-48-5,107,CC1=NC(C)=CC=C1,CCOC(C)=O,Etyl acetate,0.268795635,0.130101147,CC1=NC(C)=CC=C1.CCOC(C)=O
19,,Z19,33524-31-1,168,COC1=CC=C(OC)C(CO)=C1,CCOC(C)=O,Etyl acetate,0.40486122,0.09261848,COC1=CC=C(OC)C(CO)=C1.CCOC(C)=O
20,"3,5-Difluorobenzonitrile",CA78,64248-63-1,139.0233555,N#CC1=CC(F)=CC(F)=C1,CCOC(C)=O,Etyl acetate,0.30597111,0.075705811,N#CC1=CC(F)=CC(F)=C1.CCOC(C)=O
21,Tetrafluoroterephthalonitrile 5G,"CB104, C79",1835-49-0,199.9997609,N#CC1=C(F)C(F)=C(C#N)C(F)=C1F,CCOC(C)=O,Etyl acetate,0.566026032,0.038494385,N#CC1=C(F)C(F)=C(C#N)C(F)=C1F.CCOC(C)=O
